"V1" "V2"
"MIXL1" "SNAI2"
"MIXL1" "TNF"
"MUC1" "NR2F1"
"MUC1" "SNAI1"
"MUC1" "SP7"
"MUC1" "TRIM22"
"MUC1" "ZFP37"
"MUC1" "ZNF76"
"NR2F1" "SNAI1"
"OCLN" "PRKCB"
"OCLN" "PRKCG"
"OCLN" "SNAI1"
"OCLN" "ZFP37"
"SHH" "WNT1"
"SNAI1" "TRIM22"
"TCF7L1" "TLE2"
"TNF" "TRIM22"
"WNT1" "WNT3"
"WNT1" "WNT3A"
"WNT1" "WNT6"
"WNT1" "WNT8B"
"WNT1" "WNT9A"
