"V1" "V2"
"BCL6" "TGFB1"
"BCR" "SOS1"
"BID" "miR-141"
"BIRC3" "miR-34a"
"BIRC3" "NFKB1"
"BIRC5" "CTNNB1"
"BIRC5" "miR-34a"
"BMI1" "CBX8"
"BMI1" "CCNT2"
"BMI1" "CDH1"
"BMI1" "CREM"
"BMI1" "CTBP2"
"BMI1" "EED"
"BMI1" "EGR1"
"BMI1" "ELF1"
"BMI1" "ESRRA"
"BMI1" "EZH2"
"BMI1" "FOXJ2"
"BMI1" "GABPA"
"BMI1" "GTF2E2"
"BMI1" "HBP1"
"BMI1" "HMGN3"
"BMI1" "INSM2"
"BMI1" "MAPK14"
"BMI1" "MAZ"
"BMI1" "miR-200c"
"BMI1" "MLLT1"
"BMI1" "MLX"
"BMI1" "MYNN"
"BMI1" "NR2C2"
"BMI1" "NR2F1"
"BMI1" "POLR2H"
"BMI1" "PTEN"
"BMI1" "RARA"
"BMI1" "RNF2"
"BMI1" "SAP30"
"BMI1" "SMAD4"
"BMI1" "SMARCE1"
"BMI1" "SP7"
"BMI1" "SUPT5H"
"BMI1" "TAF7"
"BMI1" "TFDP1"
"BMI1" "TGIF2"
"BMI1" "TP53"
"BMI1" "TWIST1"
"BMI1" "UBC"
"BMI1" "ZBTB11"
"BMI1" "ZBTB16"
"BMI1" "ZBTB7A"
"BMI1" "ZFP37"
"BMI1" "ZNF18"
"BMI1" "ZNF202"
"BMI1" "ZNF24"
"BMI1" "ZNF501"
"BMI1" "ZNF580"
"BMP2" "SMAD2"
"BMP2" "SMAD3"
"BMP2" "SMAD4"
"BMP4" "CTNNB1"
"BMP4" "SMAD2"
"BMP4" "SMAD3"
"BMP4" "SMAD4"
"BMP4" "WNT1"
"BRAF" "HRAS"
"BRAF" "KRAS"
"BRAF" "MAP2K1"
"BRAF" "MAP2K2"
"BRAF" "MAPK1"
"BRAF" "RAF1"
"BTRC" "CBX8"
"BTRC" "CDC20"
"BTRC" "CHUK"
"BTRC" "CREB3L1"
"BTRC" "CTNNB1"
"BTRC" "ETS1"
"BTRC" "FBXW11"
"BTRC" "GFI1B"
"BTRC" "GLI1"
"BTRC" "GLI2"
"BTRC" "GLI3"
"BTRC" "GSK3B"
"BTRC" "IKBKB"
"BTRC" "LEF1"
"BTRC" "miR-34b"
"BTRC" "MLX"
"BTRC" "NFKB1"
"BTRC" "NFKB2"
"BTRC" "NFKBIA"
"BTRC" "RBX1"
"BTRC" "RELA"
"BTRC" "REST"
"BTRC" "RPS27A"
"BTRC" "SAP30"
"BTRC" "SKP2"
"BTRC" "SMAD4"
"BTRC" "SNAI1"
"BTRC" "SP3"
"BTRC" "SP7"
"BTRC" "TCF7L2"
"BTRC" "UBB"
"BTRC" "UBC"
"BTRC" "YAP1"
"BTRC" "ZNF146"
"BTRC" "ZNF580"
"CALM2" "miR-130b"
"CASP3" "CDH1"
"CASP3" "CTNNB1"
"CASP3" "VIM"
"CASP7" "miR-192"
"CASP7" "miR-215"
"CASP7" "VIM"
"CASP8" "MAPK1"
"CASP8" "TP53"
"CASP8" "VIM"
"CAV1" "miR-192"
"CAV1" "miR-34b"
"CAV1" "miR-34c"
"CAV1" "SMAD2"
"CAV1" "SOS1"
"CBFB" "CDH1"
"CBFB" "CTNNB1"
"CBFB" "miR-130b"
"CBFB" "NFKB1"
"CBFB" "PAK1"
"CBFB" "PIK3CA"
"CBFB" "RAF1"
"CBFB" "SMAD3"
"CBFB" "TCF7"
"CBFB" "TGFB1"
"CBL" "PIK3CA"
"CBL" "SOS1"
"CBX8" "ESRP1"
"CBX8" "LEF1"
"CCNA2" "miR-130b"
"CCNA2" "TP53"
"CCNB1" "miR-192"
"CCND1" "CDH1"
"CCND1" "CTNNB1"
"CCND1" "GSK3B"
"CCND1" "HDAC1"
"CCND1" "HRAS"
"CCND1" "KRAS"
"CCND1" "MAPK1"
"CCND1" "miR-34a"
"CCND1" "miR-34b"
"CCND1" "STAT3"
"CCND1" "TCF7L2"
"CCNE1" "GSK3B"
"CCNE1" "HDAC1"
"CCNE1" "miR-192"
"CCNE1" "miR-215"
"CCNE2" "HDAC1"
"CCNE2" "miR-200c"
"CCNE2" "miR-34a"
"CCNE2" "miR-34b"
"CCNE2" "miR-34c"
"CCNT2" "HRAS"
"CCNT2" "MAP2K2"
"CCNT2" "miR-200c"
"CCNT2" "MUC1"
"CCNT2" "SOS1"
"CD44" "FN1"
"CD44" "miR-130b"
"CD44" "miR-192"
"CD44" "miR-34a"
"CD44" "STAT3"
"CD44" "TP53"
"CDC20" "miR-192"
"CDC20" "miR-215"
"CDC20" "miR-34a"
"CDC42" "CDH1"
"CDC42" "CTNNB1"
"CDC42" "PAK1"
"CDC42" "PIK3CA"
"CDC42" "SOS1"
"CDH1" "CDH3"
"CDH1" "CHD1"
"CDH1" "CTNNB1"
"CDH1" "DNMT1"
"CDH1" "EGFR"
"CDH1" "EP300"
"CDH1" "EZH2"
"CDH1" "EZR"
"CDH1" "FGFR1"
"CDH1" "GATAD2A"
"CDH1" "GSK3B"
"CDH1" "HBP1"
"CDH1" "HDAC2"
"CDH1" "HDGF"
"CDH1" "IQGAP1"
"CDH1" "ITGB7"
"CDH1" "JUP"
"CDH1" "KLF4"
"CDH1" "MAZ"
"CDH1" "MET"
"CDH1" "miR-34c"
"CDH1" "MXD4"
"CDH1" "MYC"
"CDH1" "NR2F1"
"CDH1" "PPARG"
"CDH1" "SKP2"
"CDH1" "SMAD4"
"CDH1" "SMAD7"
"CDH1" "SNAI1"
"CDH1" "SNAI2"
"CDH1" "SRC"
"CDH1" "TCF3"
"CDH1" "TFDP1"
"CDH1" "TGIF2"
"CDH1" "UBC"
"CDH1" "VCL"
"CDH1" "ZEB1"
"CDH1" "ZEB2"
"CDH2" "CREBBP"
"CDH2" "CTBP2"
"CDH2" "CTCF"
"CDH2" "CTNNB1"
"CDH2" "JUP"
"CDH2" "LRP6"
"CDH2" "MXD3"
"CDH2" "SIN3A"
"CDH2" "SNAI1"
"CDH2" "SNAI2"
"CDH2" "ZEB2"
"CDH3" "CHD1"
"CDH3" "CTCF"
"CDH3" "CTNNB1"
"CDH3" "EZH2"
"CDH3" "ZEB2"
"CDK1" "EZH2"
"CDK1" "HDAC1"
"CDK1" "MAP2K1"
"CDK1" "miR-205"
"CDK1" "SIRT1"
"CDK1" "TP53"
"CDK2" "EZH2"
"CDK2" "HDAC1"
"CDK2" "MAPK1"
"CDK2" "SMAD2"
"CDK2" "SMAD3"
"CDK2" "TP53"
"CDK4" "HDAC1"
"CDK4" "miR-130b"
"CDK4" "miR-34a"
"CDK4" "miR-34b"
"CDK4" "miR-34c"
"CDK4" "NOTCH1"
"CDK4" "SMAD2"
"CDK4" "SMAD3"
"CDK6" "CTNNB1"
"CDK6" "HDAC1"
"CDK6" "miR-205"
"CDK6" "miR-34a"
"CDK6" "miR-34b"
"CDK6" "miR-34c"
"CDK6" "SIRT1"
"CDKN1A" "HDAC1"
"CDKN1A" "HDAC2"
"CDKN1A" "SMAD4"
"CDKN1A" "STAT3"
"CDKN1A" "TP53"
"CDKN1B" "miR-192"
"CDKN1B" "miR-200c"
"CDKN1B" "miR-34a"
"CDKN1B" "miR-34c"
"CDKN2B" "SMAD4"
"CEBPA" "HDAC1"
"CEBPB" "GSK3B"
"CEBPB" "MAP2K1"
"CEBPB" "MAPK1"
"CEBPB" "MDM2"
"CEBPB" "miR-34a"
