"Id","Label","Degree","Betweenness"
"ENSP00000351490","MAX",3,0
"ENSP00000375892","AKT2",3,0
"ENSP00000354607","FZD5",3,0
"ENSP00000256474","VHL",2,46.65
"ENSP00000231061","SPARC",2,23.99
"ENSP00000311825","CTBP2",2,21.55
"ENSP00000390500","STK3",2,19.03
"ENSP00000202556","PPP1R13B",2,14.85
"ENSP00000267082","ITGB7",2,14.22
"ENSP00000263431","PRKCG",2,10.74
"ENSP00000305355","PRKCB",2,10.74
"ENSP00000288266","APPL1",2,5.25
"ENSP00000262643","CCNE1",2,3.74
"ENSP00000338157","ZBTB16",2,3.19
"ENSP00000410294","FGFR2",2,3.02
"ENSP00000286301","CSF1R",2,2.96
"ENSP00000389338","MAPK9",2,2.69
"ENSP00000356438","PTGS2",2,2.69
"ENSP00000361125","VEGFA",2,1.62
"ENSP00000376765","PIAS3",2,1.55
"ENSP00000215659","MAPK12",2,0.85
"ENSP00000011619","RANBP9",2,0.72
"ENSP00000354487","ZEB1",2,0.66
"ENSP00000225512","WNT3",2,0
"ENSP00000263734","EPAS1",2,0
"ENSP00000263826","AKT3",2,0
"ENSP00000264033","CBL",2,0
"ENSP00000264634","WNT5A",2,0
"ENSP00000286201","FZD7",2,0
"ENSP00000287934","FZD1",2,0
"ENSP00000290015","WNT9B",2,0
"ENSP00000293288","BAX",2,0
"ENSP00000300574","CRK",2,0
"ENSP00000323901","FZD2",2,0
"ENSP00000358983","NFKB2",2,0
"ENSP00000293328","STAT5B",2,0
"ENSP00000341208","STAT5A",2,0
"ENSP00000361405","MMP9",2,0
"ENSP00000325875","HSP90AB1",2,0
"ENSP00000347858","XIAP",2,0
"ENSP00000352157","MAPK10",2,0
"ENSP00000381739","WNT8A",2,0
"ENSP00000340677","WNT8B",2,0
"ENSP00000007722","ITGA3",1,0
"ENSP00000019317","RALBP1",1,0
"ENSP00000216373","SOS2",1,0
"ENSP00000219070","MMP2",1,0
"ENSP00000222254","PIK3R2",1,0
"ENSP00000222390","HGF",1,0
"ENSP00000227163","SPI1",1,0
"ENSP00000228872","CDKN1B",1,0
"ENSP00000229030","FZD10",1,0
"ENSP00000233948","WNT6",1,0
"ENSP00000240093","FZD3",1,0
"ENSP00000247668","TRAF2",1,0
"ENSP00000254066","RARA",1,0
"ENSP00000261023","ITGAV",1,0
"ENSP00000262407","ITGA2B",1,0
"ENSP00000262741","PIK3R3",1,0
"ENSP00000262904","E2F3",1,0
"ENSP00000264674","MECOM",1,0
"ENSP00000272164","WNT9A",1,0
"ENSP00000276925","CDKN2B",1,0
"ENSP00000285018","WNT7A",1,0
"ENSP00000290167","WNT4",1,0
"ENSP00000301633","BIRC5",1,0
"ENSP00000303351","ITGB1",1,0
"ENSP00000303507","BCR",1,0
"ENSP00000309181","CCNE2",1,0
"ENSP00000310928","PPARD",1,0
"ENSP00000341032","WNT7B",1,0
"ENSP00000346300","CRKL",1,0
"ENSP00000361892","STK4",1,0
"ENSP00000356694","FASLG",1,0
"ENSP00000352900","RXRG",1,0
"ENSP00000263464","BIRC3",1,0
"ENSP00000352336","PLCG2",1,0
"ENSP00000339824","FGFR3",1,0
"ENSP00000330237","CASP9",1,0
"ENSP00000337853","TRAF6",1,0
"ENSP00000297261","SHH",1,0
"ENSP00000434034","FZD4",1,0
"ENSP00000351605","FZD6",1,0
"ENSP00000363826","FZD8",1,0
"ENSP00000330382","PDGFB",1,0
"ENSP00000349547","RASSF1",1,0
"ENSP00000427514","CEBPA",1,0
"ENSP00000402257","RUNX1T1",1,0
