"LEmethy_case---1-","AKT1","BMI1","BTRC","CDH1","CDH2","CDH3","CLDN3","CLDN4","CSN2","CSNK1A1","CTNNB1","DNMT1","ESRP1","ESRP2","ETS1","EZH2","FBXL14","FN1","GSK3B","HDAC1","HDAC2","HMGA2","HRAS","KRAS","KRT18","LATS2","LEF1","LOXL2","MAP2K1","MAP2K2","MAPK1","MDM2","miR-101-1","miR-130b","miR-141","miR-192","miR-200a","miR-200b","miR-200c","miR-205","miR-215","miR-34a","miR-34b","miR-34c","miR-429","MUC1","NFKB1","NOTCH1","OCLN","PAK1","PIK3CA","RAF1","SIRT1","SMAD2","SMAD3","SMAD4","SMARCA4","SNAI1","SNAI2","SOS1","STAT3","TCF3","TCF7","TCF7L1","TCF7L2","TGFB1","TNF","TP53","TWIST1","VIM","WNT1","YBX1","ZEB1","ZEB2","days"
"TCGA-05-4396",-1.16154411407726,1.59920035652987,1.65117596275792,-1.14218306657058,0.81047744897512,-0.0692059704827421,-1.25381778171832,-1.00012134382398,0.740810999726159,-0.489540815795668,0.998799754587038,0.15565041130792,-1.21202676100496,-1.3293444318686,-0.290939999742559,-0.582008060271045,-0.588087428203374,-0.192663515289523,0.427118821975808,-0.906265462277508,-1.66288371965747,0.267601363684234,-0.35179937553175,-0.313642137038188,-1.34621796979525,0.785748924452641,2.67529022091343,1.01681283078386,0.339704074184322,0.0333470695026182,-0.486695975907305,-0.274822853471899,0.296454817328302,-0.165476277664798,-1.05372319643867,-3.433618587378,-1.76293713257736,-1.53420817076858,-1.1221045861881,-0.142535030120254,-3.69869888119919,-0.563721797715567,2.84088861229636,2.98091864756482,-0.581125237647694,-0.71980267966674,0.214322464055417,-0.165333555909917,-0.985669549842921,2.78283489636394,-0.117985523175444,-1.60252362751397,-1.00263927668216,-0.874108277528865,-0.0638262804845791,0.333815437654941,-0.303705774735646,5.87294917402097,-0.156535685719864,-0.688482193981799,0.599495893406119,0.0381389910557837,1.09078553685084,0.798095362040232,-1.24849121870677,0.241787164162612,0.77398993762118,0.350030381802111,0.940795512804916,1.7066749247337,2.26333454708883,-1.78893939780282,1.29634169003091,0.109801408875468,FALSE
"TCGA-05-4415",1.13795744441272,-2.66986487648135,0.716568195384288,0.450371938580255,-0.0111141080443503,1.42776525964364,0.595969927932816,2.82648856564845,-0.330555190492768,0.434342909434317,1.23525652072004,0.942234472396323,0.468281993187831,0.137991371535479,1.27840029947478,0.74723006466714,2.2973305225794,1.45622066583569,0.348489926084566,0.883973683144038,1.05668255633608,0.265313225133887,0.858308561528625,-0.699963334520115,-1.74935184077211,0.979181962217935,-0.136553453543383,0.542503862229003,1.692425781381,0.613457522778046,-0.126254885742323,-1.12188201094387,0.361553182430665,0.580734590466322,2.90793285345477,0.600579337764065,-2.09811130437951,-0.63148580566109,2.39298241695584,-0.497043059859677,0.685380052451234,2.03114875833207,-0.787372469129346,-0.90728395943495,-3.57648286880912,2.52502422851417,0.57928022989438,-0.820038365206985,0.224880419606254,2.5243307644119,0.725770113947651,0.588155174832299,0.817397822500809,0.553925577718416,1.30787575620719,-0.302409636382181,0.633915610447384,-0.0814824790833007,-0.370827324467633,0.493617948453435,2.567955162183,0.556707334314068,-0.341996822391358,1.6058149781697,1.34720717799946,0.168175559569368,1.62178917952639,-1.64202485999876,0.289761286595561,-0.522910988175091,-0.761947479311199,-0.31039633081408,-0.000161839993351457,-0.498133076326452,FALSE
"TCGA-05-5429",0.463801575312591,-2.42736964480438,-1.24238536899163,-1.18157736205083,2.02983999031393,-0.597056544024389,1.40381456901598,-0.904503798680172,0.961094126678831,-1.81469597670527,-0.230598157642912,0.313095073640655,-1.71694483154524,-1.28901999208533,-1.09395351322534,-0.56214544004078,-2.68672193204725,2.16136189653615,-1.60483186047404,-1.36722224908731,-1.42475734480205,0.231879981705889,-0.956062823758527,-1.0468577910543,-1.12124830299187,0.491436116466185,0.247077623192137,-0.111942611627837,-0.290109305126822,0.88913593464658,-0.626248548960572,-0.749857097401423,-0.179267290728286,-1.00718851573906,-0.755307873068876,-3.60255059748848,-3.48532822448235,-2.70427407225497,-0.884378313044513,-0.228224793641218,-5.29879031248458,0.935487227387788,2.38715932966361,2.03671190043894,-3.04856730685056,-1.05621728242165,-1.48240507945919,-0.397292149364358,-1.27124369318961,-2.19592836063897,-0.599706264760833,-1.15120715392161,-0.105337368535761,0.245533083401737,-1.49586754002158,-0.427797362082493,0.673732215037676,-0.516399385179057,-0.0717939283856287,-0.0703779024847216,1.35993780019905,-0.0221720700001028,-0.57947803066236,-0.390759456675557,-1.57293609202937,-0.0534210527227518,-0.283853023679609,0.285870911071334,1.69188033136141,2.9338160919525,0.631107988326331,-2.29649674322034,0.07438371068452,0.997378092035805,FALSE
"TCGA-38-4631",-1.88027694880011,-2.8080702631034,-0.416664503253397,-1.426458313488,-1.1400536117596,0.913268763774544,-0.180103925612987,0.144823098512661,-1.03234768184822,0.762993175951327,-0.346816756622901,0.749753408970701,-0.191356584427578,-0.875943615825803,1.82514644784748,-0.981650014077214,0.770727053241675,0.755854943099672,0.631474370086569,-0.247196964014875,0.571358018269379,0.388703613867486,-3.14553390742747,0.0447653497496877,-0.896659589549478,-0.530748635485437,0.468063564577594,0.295213542876034,0.684422590275106,-8.60390016545914,0.878409155749442,0.540549308237124,-0.430567152489398,-0.915080374322043,-0.375134969233176,-2.78261322714046,-2.9142844067747,-1.98006757258227,-0.552240038533756,0.802792270948463,-1.56166485533124,0.861102518760312,-0.862711047768549,-0.884661332711653,-3.39609953200534,-0.0850980587753547,0.874268671259291,-4.18780147608009,0.0531524617547446,2.31321609965665,1.53772380056934,0.959702036986578,0.249592898564607,0.292074097162456,-0.897830647199967,1.9173797382864,-1.7672421225512,-0.374745015752418,0.217021411601669,-0.43446129710946,0.16331389241225,-9.27285965008585,-0.514904208532598,0.705635699297645,-1.42053105418545,-1.36229247021421,1.12857916335328,-0.395211049197176,-1.64921484986498,-0.118554479147598,-0.783344160065452,-0.885883736453629,-0.469074947172503,-0.252905249910841,FALSE
"TCGA-44-2666",-0.407567402403772,2.18394618892147,-0.1225057511898,-0.417875089884211,0.639277130861758,0.586199767654063,1.35036803859122,-0.167848518033654,1.03185226799276,0.289319670538355,0.352502166745399,0.552800225093405,-0.717340531093202,-0.726077919676381,1.05326878405302,0.169606381634731,0.295806411088154,0.938263637079645,0.0400032069338358,-0.783479961684292,-0.645184610623122,1.36998131651125,0.0263267932040671,-0.939989521086138,0.423747172540089,0.3658156396451,1.82954893646722,0.427518282466747,1.90697564015207,-0.796812964154727,-0.161503591561716,0.658131154643479,0.203406950857835,0.812685534737676,-0.143559226216375,0.305190486872433,0.0374485835481676,-0.32722592614137,-0.0801424840650887,1.00841288879661,0.346181366859518,0.291737178713509,1.97230625578109,2.03063179994026,-0.0276248469691252,-0.531609354430906,-1.67039692973861,-0.307291906132919,-0.69425652844907,0.0287863735484348,0.156555637567946,0.691322872994235,0.219205353444257,-1.07818499305641,0.548364153560727,0.621343483991139,-0.398904637909094,0.490471899030204,-0.326704066280867,0.100013152202174,0.352089059223537,-0.80641869870533,0.370901200946382,0.340252231361458,-0.106628069784709,-0.548974305197852,1.24775152679647,-0.177453017676583,0.606845665989028,0.663704520388099,1.61132548308312,0.0533496381262111,1.81941652021329,1.77674173355268,FALSE
"TCGA-44-6776",-1.84243833404204,0.849439006920366,0.764715980271359,-0.800942925821833,-1.02493828899831,0.713879432683448,-0.337461701811543,-0.968113752803336,1.31856265019002,0.491339218801689,0.91727843523225,0.0393140132130701,-0.60340836407782,-1.46921485587396,1.28819940623348,1.60021745965465,1.05559861077768,0.790564637077147,0.718462497658595,-1.06565292854628,-0.274892391014165,0.596991107392611,-0.721445243809581,0.190209922594284,-0.633568601732845,0.442100894899502,0.134574074153721,-0.471062355799776,0.457185777766647,0.237611980213994,0.567723802181179,-1.26619467857936,0.510567615625157,-0.14008467665096,-1.1715966655201,0.562107989521608,0.492769490381502,-0.00469543045420051,-1.28606028207667,1.13805360025878,0.575197562135363,-0.503553500461159,-0.483327539071809,-0.364144279184494,0.755960913681927,-1.06620752504637,1.62785349193399,-0.107005368069254,-1.40644650653454,0.150072578827045,0.88311317847364,0.492392313343333,1.04924848303316,-0.568247016448433,-0.316243236988899,-0.0650092195334411,0.457988740695605,0.317652255840742,-0.419930619801627,0.680264064910774,0.241835229743327,0.40382905213942,0.676988611909661,-0.346859426137717,0.21812325236978,-1.68471217710502,0.526525248187323,0.338785448781763,-0.458422994077433,-0.432662766661791,-0.606820255126059,0.464414215803947,-0.711958632013931,-0.189766817555142,TRUE
"TCGA-44-6778",-4.19644212868481,-1.09234474393417,-2.5789649384275,0.476066453493047,-0.803397919609475,-2.98660896640032,0.149587440274372,0.496085860796805,0.613545294931313,-0.317340154126644,0.392872121859689,-0.436761212030577,0.495680122440635,0.0346003496236209,-2.61486612580132,-1.72518099157972,-1.10756786478922,0.141384214439486,-1.88682121621389,-1.03126618126603,-0.858821354839528,-1.94352070001568,-2.00351392298837,-0.703488135670496,0.297321648206873,-5.99944977654217,-0.937039818113677,-0.0498972692129534,-0.355755761836665,-1.20660047465783,-0.325210030808561,-0.748390867536121,-0.925531282324725,-0.089872885031666,0.374181789524903,-0.795966639524003,0.0553654768612826,-0.074321194470657,0.517413044092679,-0.58792831716286,-0.152360239309234,0.736730128535569,-0.934377504749676,-0.765308907369118,-0.266360889359594,0.274524739073977,-0.82799248134526,-2.79721052604849,1.07996877081905,0.373610989403761,-0.141041876317678,-0.851775557442448,0.0566441673847121,-0.71274789855687,0.866018914263833,-0.83154054898964,-6.11494947128234,-0.535258316656301,-0.671139673582808,-0.546988063313614,-1.29676577022609,-0.893804553487098,-1.19885643271473,-1.12878487039933,-0.543031479593048,-1.5186472862874,-1.7159038952276,-0.575376057230023,-1.50050181797962,-0.591699897162861,-0.902211347127045,-0.562327004909951,-1.30966933753426,-0.984779627027784,TRUE
"TCGA-44-A4SU",-1.08023391507385,0.456521822299311,-0.0714795259082851,0.856415460819874,-0.815908498991847,0.381163158502544,0.881082655722123,-0.083259511989086,0.266676769469953,-0.333443771522843,-0.219968194173402,-0.477264901918041,-0.341128198654635,0.230874344162308,0.379349008545184,-0.235520287009551,-0.509545995957585,0.503857067642957,-0.0394322928260092,-0.66992732611995,0.0870512079972279,0.0785548071187628,-0.208993769099839,-0.169394071811088,0.409287981826577,-0.528152283376654,-1.05921061182667,0.532380549319034,-0.118136707695635,-0.000788863231028792,0.306371067948522,-0.528370424561097,0.311632963677226,0.257938599408007,0.685421140010717,0.463496463852696,0.0411953335073446,-0.511285769336945,0.721360630781655,-2.20972180208915,0.431872075556769,-1.16996931281121,-0.484329607425239,-0.482934437058418,0.18054754100089,-0.266647420836065,-0.0556862515925644,0.786988665281806,-0.34912604336395,-1.12438563927206,-0.710626564743394,-1.21676235055907,-0.290151625751588,0.803958782285439,0.281528173098136,-0.561091772187252,0.0773740503510728,-0.00152157304254624,-0.381452385770926,0.275138805696238,-1.14656084238257,-0.0107806699018377,0.0955112758303697,0.493227319983841,0.218105668125201,1.03236821390683,-1.08897302154407,-0.358328484477645,-1.10158286701456,-0.0304126460355781,-0.436427785826489,0.582865240134668,-1.05637089223236,-0.356358938382278,FALSE
"TCGA-49-4490",-0.645703790470705,0.411669126011513,-0.220856099094638,-0.168864476222087,-1.25366303337496,0.108357813504865,-0.743981510531342,-0.115452952539334,0.265695024535472,-0.0453692522020434,0.121642554766305,-0.0900404517198151,1.30987275171982,0.3640012008661,0.888538117306541,-0.435813291455222,0.896552710214632,0.761836028208069,0.227157102740078,-0.00825651478880319,0.0783588002427562,0.604466067489746,0.223957406030477,1.40174167921071,1.06035523933272,-0.0803645223995498,-0.359347778545406,-0.0308395113417843,0.9298906569903,-0.00480970834225891,0.952936060518671,0.169744218367946,0.11938356959023,0.448851192089003,0.773820148037398,0.411650068427574,0.44061984758157,0.606343059274762,0.811553239100296,-0.897531414604836,0.580227043532733,-0.857733153158979,-0.665390742797984,-0.433601397917585,0.221264322326772,0.701987196488555,0.741040653515313,-0.0504301921781073,0.66890842111147,0.378938795089001,-0.581716549886106,-0.254225689160344,0.487699454715998,1.06054409978535,-0.237478395545776,0.175907767540379,-0.914413881853371,0.51720640486531,0.120513005062362,0.146608763126508,-0.879425427552999,-0.0125512040265932,0.00282936661755932,0.53302218926316,0.410374166225351,0.79525746937476,0.22628401766872,0.38166905785861,-1.54465908958539,-0.121844226423623,-0.673121822827787,0.583248377185906,-0.661673317712356,-0.119460818620194,FALSE
"TCGA-49-4514",0.489416063461067,-0.0289160078548001,-0.494519772151483,0.956558224344475,-0.395768900702215,-0.377185955916886,0.362595642649844,1.20891325648671,0.00104311697590643,0.630594760107997,-0.235516371123077,0.442188321793809,0.725208256764726,0.917888623611029,0.0936299728431186,0.0777030920931434,0.388955823010306,0.0815219242214345,-0.384316028815099,0.34359938053688,0.463626431563797,-0.658236859125398,0.0273121450476437,0.291958359386152,0.780792533539893,0.220674287897716,-0.608221980300642,0.229524896273349,-0.0122576102755645,-0.00196164676326689,-0.154331496275463,0.195903831321179,0.0521861139843354,0.0300603532450771,0.372960988800977,-0.442578922505173,-1.10373545587665,-0.941263102415187,0.408433976727279,0.1744313108661,0.648730402114047,0.346671142139717,-0.421810211943448,-0.353849391405003,-0.62875974382353,0.614447397904323,-0.0756417885907115,-0.428975231696487,1.05480469317642,-0.886106634593986,-0.10480064479588,-0.219424064942016,0.368011081507846,0.232635472203416,0.840056840097408,0.123112330317305,0.00254051717134134,-0.338163514760462,0.127563486806593,1.2591265646038,-1.41554298606655,-0.270800582302163,-0.882211795684008,0.0126499267357791,0.122693696622475,-0.0570650741942554,-0.831976811663873,0.895064256049198,-0.764565023600233,-0.240606406378113,-0.330502198081131,-0.204214400030075,-0.649376197930817,-0.522947638510091,TRUE
